trial,feedback,reaction time,picture,participant,name,session,date,expName,psychopyVersion,
1,0,5.923801099997945,pictures/material_new/5_3and4_1and2,11,11,11,2021_Apr_29_2015,Reinforcement_learning,2020.1.3,
2,1,1.0379546000040136,pictures/material_new/5_3and4_2and2,11,11,11,2021_Apr_29_2015,Reinforcement_learning,2020.1.3,
3,0,0.8644113000045763,pictures/material_new/5_1and4_1and2,11,11,11,2021_Apr_29_2015,Reinforcement_learning,2020.1.3,
4,1,1.003606199999922,pictures/material_new/4_1and6_3and1,11,11,11,2021_Apr_29_2015,Reinforcement_learning,2020.1.3,
5,1,0.8843877999897813,pictures/material_new/5_2and6_2and2,11,11,11,2021_Apr_29_2015,Reinforcement_learning,2020.1.3,
6,0,1.234714599995641,pictures/material_new/4_3and5_2and1,11,11,11,2021_Apr_29_2015,Reinforcement_learning,2020.1.3,
7,0,2.4204769999923883,pictures/material_new/5_3and3_1and1,11,11,11,2021_Apr_29_2015,Reinforcement_learning,2020.1.3,
8,1,0.5284257000021171,pictures/material_new/4_2and5_3and1,11,11,11,2021_Apr_29_2015,Reinforcement_learning,2020.1.3,
9,0,0.6096603000041796,pictures/material_new/3_3and3_1and2,11,11,11,2021_Apr_29_2015,Reinforcement_learning,2020.1.3,
10,0,2.0518551000131993,pictures/material_new/6_3and5_2and2,11,11,11,2021_Apr_29_2015,Reinforcement_learning,2020.1.3,
